id,feature,category,provider,app
cat_1,Company-specific price lists,Catalog & Pricing,Shopify,
cat_2,Volume / tiered pricing breaks,Catalog & Pricing,Shopify,
cat_3,Quantity rules (MOQ and case pack multiples),Catalog & Pricing,Shopify,
cat_4,Multiple catalogs (unlimited on Plus),Catalog & Pricing,Shopify,
cat_5,Restricted catalog visibility per account,Catalog & Pricing,Shopify,
cat_6,Currency support via Shopify Markets,Catalog & Pricing,Shopify,
cat_7,Product tables with metafields and attributes,Catalog & Pricing,Extend,Extend B2B Buying
cat_8,Variant tables on product detail pages,Catalog & Pricing,Extend,Extend B2B Buying
cat_9,Filterable and searchable product tables,Catalog & Pricing,Extend,Extend B2B Buying
cat_10,Attribute display (specs / dimensions / UOM),Catalog & Pricing,Extend,Extend B2B Buying
cat_11,Catalog-synced pricing in quick order tables,Catalog & Pricing,Extend,Extend B2B Buying
cat_12,Catalog-based product availability at POS,Catalog & Pricing,Extend,Extend POS for B2B & Wholesale
cat_13,Customer-specific pricing auto-loaded by company location in POS,Catalog & Pricing,Extend,Extend POS for B2B & Wholesale
cat_14,Product configurator (SKU-level config / parts / rules),Catalog & Pricing,Extend,Extend Product Configurator
cat_15,Contingent attribute rules between product parts,Catalog & Pricing,Extend,Extend Product Configurator
cat_16,Tiered pricing on configured products,Catalog & Pricing,Extend,Extend Product Configurator
cat_17,Extra images per product attribute / part,Catalog & Pricing,Extend,Extend Product Configurator
cat_18,Contract pricing engine (outside of catalogs),Catalog & Pricing,Codup,
cat_19,ERP-synced / real-time pricing pull,Catalog & Pricing,Codup,
cat_20,Dynamic pricing rules (complex conditional logic),Catalog & Pricing,Codup,
cat_21,Hidden pricing for guest or unapproved visitors,Catalog & Pricing,Codup,
ord_1,Draft orders,Ordering,Shopify,
ord_2,PO number field at checkout,Ordering,Shopify,
ord_3,Basic reorder from order history,Ordering,Shopify,
ord_4,Quick order / product table ordering,Ordering,Extend,Extend B2B Buying
ord_5,CSV order upload with inline rule-validation error display,Ordering,Extend,Extend B2B Buying
ord_6,Bulk add-to-cart (multi-SKU / multi-qty),Ordering,Extend,Extend B2B Buying
ord_7,Shopping list / save cart as reusable template,Ordering,Extend,Extend B2B Buying
ord_8,Reorder from shopping list in customer account,Ordering,Extend,Extend B2B Buying
ord_9,Download personalized B2B catalog as CSV from customer account,Ordering,Extend,Extend B2B Buying
ord_10,B2B ordering at POS (trade counter / showroom),Ordering,Extend,Extend POS for B2B & Wholesale
ord_11,Unpaid / draft order generation at POS for later processing,Ordering,Extend,Extend POS for B2B & Wholesale
ord_12,Quantity increment rule validation before POS checkout,Ordering,Extend,Extend POS for B2B & Wholesale
ord_13,Custom order metafields captured at POS checkout,Ordering,Extend,Extend POS for B2B & Wholesale
ord_14,Project-based multi-cart management,Ordering,Extend,Extend Projects & Quotes
ord_15,Named and saved project carts,Ordering,Extend,Extend Projects & Quotes
ord_16,Cart merge and override between projects,Ordering,Extend,Extend Projects & Quotes
ord_17,Share saved carts with company team members,Ordering,Extend,Extend Projects & Quotes
