id,feature,category,provider,app
cat_1,Company-specific price lists,Catalog & Pricing,Shopify,
cat_2,Volume / tiered pricing breaks,Catalog & Pricing,Shopify,
cat_3,Quantity rules (MOQ and case pack multiples),Catalog & Pricing,Shopify,
cat_4,Multiple catalogs (unlimited on Plus),Catalog & Pricing,Shopify,
cat_5,Restricted catalog visibility per account,Catalog & Pricing,Shopify,
cat_6,Currency support via Shopify Markets,Catalog & Pricing,Shopify,
cat_7,Product tables with metafields and attributes,Catalog & Pricing,Extend,Extend B2B Buying
cat_8,Variant tables on product detail pages,Catalog & Pricing,Extend,Extend B2B Buying
cat_9,Attribute display (specs / dimensions / UOM),Catalog & Pricing,Extend,Extend B2B Buying
cat_10,Catalog-synced pricing in quick order tables,Catalog & Pricing,Extend,Extend B2B Buying
cat_11,Product configurator (SKU-level config / parts / rules),Catalog & Pricing,Extend,Extend Product Configurator
cat_12,Contract pricing engine (outside of catalogs),Catalog & Pricing,Codup,
cat_13,ERP-synced / real-time pricing pull,Catalog & Pricing,Codup,
cat_14,Dynamic pricing rules (complex conditional logic),Catalog & Pricing,Codup,
cat_15,Hidden pricing for guest or unapproved visitors,Catalog & Pricing,Codup,
ord_1,Draft orders,Ordering,Shopify,
ord_2,PO number field at checkout,Ordering,Shopify,
ord_3,Basic reorder from order history,Ordering,Shopify,
ord_4,Quick order / product table ordering,Ordering,Extend,Extend B2B Buying
ord_5,CSV order upload,Ordering,Extend,Extend B2B Buying
ord_6,Bulk add-to-cart (multi-SKU / multi-qty),Ordering,Extend,Extend B2B Buying
ord_7,Multi-cart (save multiple named carts),Ordering,Extend,Extend B2B Buying
ord_8,Shared / collaborative carts (per company),Ordering,Extend,Extend B2B Buying
ord_9,Cart naming and organization,Ordering,Extend,Extend B2B Buying
ord_10,Checkout restriction by cart value or category,Ordering,Extend,Extend B2B Buying
ord_11,B2B ordering at POS (trade counter / showroom),Ordering,Extend,Extend POS for B2B
ord_12,Standing / scheduled repeat orders,Ordering,Codup,
ord_13,Order templates with pre-set SKU lists,Ordering,Codup,
ord_14,EDI order ingestion (850/855),Ordering,Codup,
ord_15,API-based order injection from external systems,Ordering,Codup,
ord_16,Configure-to-order / CPQ beyond configurator,Ordering,Codup,
acc_1,Company profiles,Accounts & Permissions,Shopify,
acc_2,Company locations (multi-location per account),Accounts & Permissions,Shopify,
acc_3,Parent / child company hierarchy,Accounts & Permissions,Shopify,
acc_4,Basic buyer roles (admin-assigned),Accounts & Permissions,Shopify,
acc_5,B2B login via customer accounts,Accounts & Permissions,Shopify,
acc_6,Company onboarding form with admin approval,Accounts & Permissions,Extend,Extend B2B Onboarding
acc_7,Location management during onboarding,Accounts & Permissions,Extend,Extend B2B Onboarding
acc_8,Role-based cart access (Viewer / Editor / Approver),Accounts & Permissions,Extend,Extend B2B Buying
acc_9,Cart-level approval workflows,Accounts & Permissions,Extend,Extend B2B Buying
acc_10,Advanced multi-step purchase approval workflows,Accounts & Permissions,Codup,
acc_11,Territory / region-based account assignment,Accounts & Permissions,Codup,
